Time,Question,Prediction,Link
2021-5-26 12:17:46,Will mainstream authorities declare that a lab leak likely caused the COVID-19 pandemic by the end of 2024?,53%,https://www.metaculus.com/questions/3682/before-the-end-of-2024-will-at-least-two-public-health-agencies-claim-that-covid-19-more-likely-than-not-originated-from-a-laboratory/
2021-5-26 12:25:27,"Will a SpaceX-branded mission land people on Mars prior to Jan 1, 2030?",15%,https://www.metaculus.com/questions/349/will-spacex-land-people-on-mars-prior-to-2030/
2021-5-26 12:25:50,Will I sign up for life insurance by the end of the year 2021?,58%,Myself
2021-5-26 12:30:49,Will there be a culturally significant development in aging research by 2030?,29%,https://www.metaculus.com/questions/3458/will-there-be-a-culturally-significant-development-in-aging-research-by-2030/
2021-5-26 12:32:22,Will there be a World War 3 before 2050?,11%,https://www.metaculus.com/questions/2534/will-there-be-a-world-war-three-before-2050/
2021-5-26 12:35:03,Will a member of the Trump family be the Republican nominee for the US Presidency in 2024?,44%,https://www.metaculus.com/questions/4127/will-a-member-of-the-trump-family-be-the-republican-nominee-for-the-us-presidency-in-2024/
2021-5-26 12:40:00,Human-machine intelligence parity by 2040?,32%,https://www.metaculus.com/questions/384/human-machine-intelligence-parity-by-2040/
2021-5-26 12:45:12,Will cannabis be removed from Schedule I of the Controlled Substance Act by 2024?,74%,https://www.metaculus.com/questions/981/will-cannabis-be-removed-from-schedule-i-of-the-controlled-substance-act-by-2024/
2021-5-26 12:55:33,Will Andrew Yang be the next mayor of NYC?,39%,https://www.metaculus.com/questions/6051/will-andrew-yang-be-the-next-mayor-of-nyc/
2021-5-26 13:11:11,Will Robin Hanson win a bet that the GPT line of language models will generate < $1Bn in customer revenue by 2025?,27%,https://www.metaculus.com/questions/5118/will-robin-hanson-win-a-bet-that-the-gpt-line-of-language-models-will-generate--1bn-in-customer-revenue-by-2025/
2021-5-26 13:21:45,Will photonic tensor cores by ubiquitous in ML by 2030?,35%,https://www.metaculus.com/questions/4872/will-photonic-tensor-cores-be-ubiquitous-in-machine-learning-by-2030/
2021-5-26 15:26:59,Will photonic tensor cores by ubiquitous in ML by 2030?,20%,https://www.metaculus.com/questions/4872/will-photonic-tensor-cores-be-ubiquitous-in-machine-learning-by-2030/
2021-11-27 18:31:02,Will the U.S. CDC classify Omicron as a variant of high consequence (VOHC) before 2023?,28%,https://www.metaculus.com/questions/8752/
2021-11-27 18:32:22,Will the Omicron variant be more lethal than Delta?,21%,https://www.metaculus.com/questions/8757/
2021-11-27 18:33:18,Ragnarök Question Series: If a global catastrophe occurs, will it be due to naturally occuring pandemics?,2%,https://www.metaculus.com/questions/8745/
2021-11-27 18:35:18,Will humans go extinct by 2100?,9%,https://www.metaculus.com/questions/578/
2021-11-27 18:36:59,Will the U.S. CDC classify a SARS-CoV-2 variant as a variant of high consequence (VOHC) by 1 March 2022?,20%,https://www.metaculus.com/questions/8758/
2021-11-27 18:37:47,Will the US, UK, or EU authorize an Omicron-specific booster before 2023?,35%,https://www.metaculus.com/questions/8754/
2021-11-27 18:40:04,Will SpaceX land anything on Mars by 2030?,72%,https://www.metaculus.com/questions/737/
2021-11-27 18:50:52,Will human population size recover to 5 billion by 3000CE if, by 2100, the population falls below 400 million without extinction occurring within 20 years?,75%,https://www.metaculus.com/questions/8105/
2021-11-27 19:01:33,Will the UK's third wave of COVID-19 exceed 250 deaths/day?,10%,https://www.metaculus.com/questions/7537/
2021-11-27 19:04:47,Before 2025, will at least two public health agencies claim that China deliberately misreported COVID-19 infections?,45%,https://www.metaculus.com/questions/3715/
2021-11-27 19:07:32,Will Próspera's population in 2021 be larger than 1,000?,1%,https://www.metaculus.com/questions/7139/
2021-11-27 19:08:54,Will Amazon accept Bitcoin before 2024?,30%,https://www.metaculus.com/questions/6597/

2021-11-27 19:13:20,Will the United States boycott the 2022 Beijing Olympics?,5%,https://www.metaculus.com/questions/7876/2021-11-27 19:17:04,Will Republicans control the United States Senate on 2022-10-31?,8%,https://www.metaculus.com/questions/6883/2021-11-27 21:57:44,Will there be a complete 4 year interval in which world output doubles, before the first 1 year interval in which world output doubles?,65%,https://www.metaculus.com/questions/736/2021-11-27 21:58:50,Human-machine intelligence parity by 2040?,35%,https://www.metaculus.com/questions/384/2021-11-27 22:01:06,Will a 100 trillion parameter deep learning model be trained before 2026?,91%,https://www.metaculus.com/questions/3656/2021-11-27 22:01:54,Longbets series: By 2029 will a computer have passed the Turing Test?,30%,https://www.metaculus.com/questions/3648/2021-11-27 22:03:31,Longbets series: By 2025 will the scientific evidence of a large bi-pedal great ape be sufficient to convince at least 50% of primatologists that a yeti/bigfoot-like creature exists?,1%,https://www.metaculus.com/questions/3647/2021-11-27 22:04:59,Longbets series: Will slaughterhouses be banned in the United Kingdom by 2050.,15%,https://www.metaculus.com/questions/4894/2021-11-27 22:05:41,Longbets series: By 2030, will commercial passengers routinely fly in pilotless planes?,10%,https://www.metaculus.com/questions/3645/2021-11-27 22:08:00,Longbets series: will driverless cars be commercially available in Las Vegas, NV by May 27 2024?,50%,https://www.metaculus.com/questions/5715/2021-11-27 22:10:52,Will the first AGI be based on deep learning?,67%,https://www.metaculus.com/questions/4055/2021-11-27 22:12:58,Will Robin Hanson win his bet against Matthew Barnett on whether ems will come before de novo AGI?,5%,https://www.metaculus.com/questions/8475/2021-11-27 22:23:25,Will artificial superintelligence precede the achievement of longevity escape velocity (if it is ever achieved)?,77%,https://www.metaculus.com/questions/4788/2021-11-27 22:24:57,Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,81%,https://www.metaculus.com/questions/4118/2021-11-27 22:25:36,Will Any Major AI Company Commit to an AI Windfall Clause by 2025?,20%,https://www.metaculus.com/questions/4061/2021-11-27 22:26:52,Ragnarök Question Series: if an artificial intelligence catastrophe occurs, will it reduce the human population by 95% or more?,80%,https://www.metaculus.com/questions/2513/2021-11-27 22:28:11,Will AI progress surprise us?,35%,https://www.metaculus.com/questions/1394/2021-11-27 22:30:41,Will AI progress surprise us?,60%,https://www.metaculus.com/questions/1394/2021-11-29 12:46:09,Will the US, UK, or EU authorize an Omicron-specific booster before 2023?,65%,https://www.metaculus.com/questions/8754/2021-11-30 14:11:54,Before the end of 2024 will at least two public health agencies claim that COVID-19 more likely than not originated in a laboratory?,35%,https://www.metaculus.com/questions/3682/
